source,title,link
Times of India,"Sonakshi Wears Upcycled Saree for Marriage, Stuns in Banarasi for Reception!",https://timesofindia.indiatimes.com/videos/etimes/bollywood/sonakshi-sinha-wears-upcycled-saree-for-civil-marriage-stuns-in-banarasi-for-reception/videoshow/111218100.cms
Times of India,Sonakshi Sinha and Zaheer Iqbal's Star-Studded Reception,https://timesofindia.indiatimes.com/videos/etimes/bollywood/sonakshi-sinha-and-zaheer-iqbals-reception-from-anil-kapoor-tabu-to-aditi-rao-hydari-and-raveena-tandon-stars-who-made-it-to-celebrate/videoshow/111212459.cms
Times of India,Russia: Dagestan Attack Toll Mounts; Four Terrorists Killed In Counter-Terror Operations,https://timesofindia.indiatimes.com/videos/international/russia-dagestan-attack-toll-mounts-four-terrorists-killed-in-counter-terror-operations/videoshow/111225715.cms
Times of India,Putin Blasts U.S. For Deadly Attack On Sevastopol After Ukraine Launches ATACMS Missiles At Crimea,https://timesofindia.indiatimes.com/videos/international/putin-blasts-u-s-for-deadly-attack-on-sevastopol-after-ukraine-launches-atacms-missiles-at-crimea/videoshow/111217814.cms
Times of India,Watch: Anand Mahindra praises viral hands-free umbrella hack,https://timesofindia.indiatimes.com/technology/tech-news/watch-anand-mahindra-praises-viral-hands-free-umbrella-hack/articleshow/111224240.cms
Times of India,VIT's Online MBA Programme,https://timesofindia.indiatimes.com/spotlight/looking-to-climb-the-career-ladder-vellore-institute-of-technologys-online-mba-programme-is-where-you-can-get-started/articleshow/111222111.cms
Times of India,Why Netanyahu doesn’t take Biden seriously,https://timesofindia.indiatimes.com/world/us/why-netanyahu-doesnt-take-biden-seriously/articleshow/111219989.cms
Times of India,To NCERT and its masters: Babri was razed. That fact can’t be erased,https://timesofindia.indiatimes.com/india/to-ncert-and-its-masters-babri-was-razed-that-fact-cannot-be-erased/articleshow/111204686.cms
Times of India,There is no reason why INDIA can’t win the Bihar election,https://timesofindia.indiatimes.com/india/no-reason-why-india-cant-win-the-next-bihar-assembly-elections-even-if-advancedour-vote-share-has-shot-up/articleshow/111211216.cms
Times of India,EU's message to Apple: Time to “act different” on App Store policies,https://timesofindia.indiatimes.com/technology/eus-message-to-apple-time-to-act-different-on-app-store-policies/articleshow/111229466.cms
Times of India,Hot And Cold Water Purifiers For All Seasons,https://timesofindia.indiatimes.com/hot-picks/hot-and-cold-water-purifiers-for-all-seasons/articleshow/111212328.cms
Times of India,CGBSE Class 12 Revaluation Results for 2024 Out: Check Direct Link Here,https://timesofindia.indiatimes.com/education/news/cgbse-class-12-revaluation-results-for-2024-out-check-direct-link-here/articleshow/111226292.cms
Times of India,Huma drops new PIC from Zaheer-Sona's nuptials,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/zaheer-iqbal-embraces-his-bride-sonakshi-sinha-in-unseen-pic-from-their-wedding-shared-by-bff-huma-qureshi-with-a-heartwarming-note/articleshow/111228636.cms
Times of India,'Pirates Of The Caribbean' actor Tamayo Perry found dead,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/pirates-of-the-caribbean-actor-tamayo-perry-found-dead-with-missing-arm-and-leg-in-suspected-shark-attack/articleshow/111226935.cms
Times of India,Unconventional characters redefining Indian cinema,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/breaking-boundaries-unconventional-characters-redefining-indian-cinema/articleshow/111208394.cms
